# Nh Nb time/1000 steps
1 1 2.3238340000000002
1 5 10.169031000000000 
1 10 25.011638999999999
1 15 48.402625000000000
1 25 134.94684100000001
5 1 4.5814659999999998 
5 5  12.606088000000000
5 10 27.461683000000001
5 15 51.208605999999996 
5 25 141.22224600000001
10 1 12.546942000000000
10 5 20.573704999999997
10 10 35.657611000000003 
10 15 58.486915000000003 
10 25 146.52211199999999 
15 1 32.129620000000003 
15 5  40.194988000000002
15 10 55.134776000000002 
15 15 78.522212999999994 
15 25 170.23402899999999 
25 1 2331.3785520000001 
25 5 2329.3530169999999 
25 10 2338.3360389999998 
25 15 2375.7360630000003 
25 25 2453.0037250000000 

