   1.00000000 -69.12972605 
   1.01000000 -69.13139515 
   1.02000000 -69.13287261 
   1.03000000 -69.13416933 
   1.04000000 -69.13529566 
   1.05000000 -69.13626143 
   1.06000000 -69.13707601 
   1.07000000 -69.13774827 
   1.08000000 -69.13828669 
   1.09000000 -69.13869931 
   1.10000000 -69.13899378 
   1.11000000 -69.13917739 
   1.12000000 -69.13925705 
   1.13000000 -69.13923937 
   1.14000000 -69.13913059 
   1.15000000 -69.13893668 
   1.16000000 -69.13866330 
   1.17000000 -69.13831584 
   1.18000000 -69.13789940 
   1.19000000 -69.13741887 
   1.20000000 -69.13687886 
   1.21000000 -69.13628379 
   1.22000000 -69.13563785 
   1.23000000 -69.13494506 
   1.24000000 -69.13420924 
   1.25000000 -69.13343406 
